# Lighting Coefficients for Frame 156
# SH Order: 4, Number of Coefficients: 25
# Index, Value
0, 0.00000000
1, 195.43902547
2, 77.84778151
3, -195.43902547
4, -50.94637126
5, -194.07989789
6, 32.69897604
7, 194.07989789
8, -50.94637126
9, 4.25994752
10, 37.19279214
11, 85.23816798
12, -50.85426124
13, -85.23816798
14, 37.19279214
15, -4.25994752
16, 0.00384974
17, -1.55397963
18, -9.24290076
19, -14.64215972
20, 15.32217548
21, 14.64215972
22, -9.24290076
23, 1.55397963
24, 0.00384974
