# Lighting Coefficients for Frame 58
# SH Order: 4, Number of Coefficients: 25
# Index, Value
0, -0.00000000
1, -267.72071461
2, 19.44339617
3, 267.72071461
4, 11.74003219
5, 284.50147865
6, 7.17639174
7, -284.50147865
8, 11.74003219
9, 1.09415100
10, -9.90298274
11, -139.85870108
12, -12.60702056
13, 139.85870108
14, -9.90298274
15, -1.09415100
16, 0.04158963
17, -0.30433831
18, 3.04664239
19, 28.64117387
20, 3.99085411
21, -28.64117387
22, 3.04664239
23, 0.30433831
24, 0.04158963
