# Lighting Coefficients for Frame 231
# SH Order: 4, Number of Coefficients: 25
# Index, Value
0, 0.00000000
1, 41.86659910
2, 30.71524623
3, -41.86659910
4, -12.83854770
5, -36.65270952
6, 12.04022012
7, 36.65270952
8, -12.83854770
9, 3.09451468
10, 8.47510988
11, 11.77544782
12, -19.91725599
13, -11.77544782
14, 8.47510988
15, -3.09451468
16, -0.21136460
17, -1.11352881
18, -1.67658411
19, -0.49342499
20, 6.30261925
21, 0.49342499
22, -1.67658411
23, 1.11352881
24, -0.21136460
