# Lighting Coefficients for Frame 26
# SH Order: 4, Number of Coefficients: 25
# Index, Value
0, -0.00000000
1, -60.85749519
2, 18.67028426
3, 60.85749519
4, 17.44658569
5, 64.62603816
6, 6.84689816
7, -64.62603816
8, 17.44658569
9, 0.57298884
10, -13.86620169
11, -31.81990364
12, -12.11684560
13, 31.81990364
14, -13.86620169
15, -0.57298884
16, 0.00898975
17, -0.14620062
18, 3.93269175
19, 6.56990144
20, 3.97423919
21, -6.56990144
22, 3.93269175
23, 0.14620062
24, 0.00898975
