# Lighting Coefficients for Frame 185
# SH Order: 4, Number of Coefficients: 25
# Index, Value
0, -0.00000000
1, -241.20189997
2, 36.94299020
3, 241.20189997
4, 3.14695955
5, 256.59989771
6, 14.16665407
7, -256.59989771
8, 3.14695955
9, 0.80820536
10, -3.08566899
11, -126.38488054
12, -24.01717129
13, 126.38488054
14, -3.08566899
15, -0.80820536
16, 0.13929049
17, -0.19170784
18, 1.13651954
19, 25.94787658
20, 7.60241704
21, -25.94787658
22, 1.13651954
23, 0.19170784
24, 0.13929049
